embryo_id,latent_status,n_affected,classifier,rule_name,embryo_call,truth_binary
sim_0001,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0002,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0003,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0004,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0005,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0006,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0007,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0008,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0009,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0010,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0011,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0012,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0013,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0014,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0015,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0016,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0017,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0018,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0019,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0020,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0021,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0022,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0023,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0024,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0025,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0026,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0027,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0028,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0029,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0030,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0031,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0032,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0033,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0034,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0035,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0036,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0037,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0038,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0039,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0040,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0041,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0042,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0043,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0044,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0045,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0046,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0047,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0048,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0049,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0050,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0051,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0052,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0053,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0054,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0055,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0056,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0057,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0058,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0059,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0060,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0061,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0062,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0063,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0064,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0065,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0066,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0067,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0068,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0069,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0070,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0071,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0072,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0073,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0074,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0075,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0076,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0077,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0078,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0079,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0080,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0081,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0082,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0083,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0084,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0085,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0086,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0087,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0088,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0089,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0090,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0091,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0092,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0093,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0094,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0095,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0096,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0097,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0098,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0099,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0100,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0101,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0102,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0103,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0104,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0105,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0106,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0107,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0108,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0109,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0110,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0111,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0112,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0113,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0114,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0115,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0116,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0117,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0118,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0119,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0120,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0121,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0122,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0123,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0124,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0125,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0126,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0127,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0128,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0129,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0130,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0131,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0132,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0133,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0134,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0135,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0136,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0137,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0138,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0139,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0140,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0141,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0142,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0143,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0144,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0145,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0146,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0147,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0148,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0149,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0150,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0151,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0152,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0153,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0154,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0155,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0156,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0157,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0158,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0159,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0160,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0161,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0162,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0163,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0164,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0165,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0166,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0167,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0168,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0169,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0170,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0171,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0172,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0173,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0174,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0175,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0176,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0177,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0178,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0179,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0180,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0181,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0182,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0183,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0184,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0185,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0186,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0187,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0188,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0189,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0190,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0191,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0192,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0193,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0194,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0195,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0196,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0197,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
